ingredientes,link,nome,porcoes,preparo,tempo_preparo
"200 gramas de bacon,1 cebola média (80 gramas),2 dentes de alho amassados,3 ovos médios,1 xícara de chá de arroz cru (200 gramas),2 xícaras de chá de água (480 ml),2 colheres de chá de sal ou a gosto ,1/4 de colher de chá de pimenta-do-reino ou a gosto,1 xícara de chá de batata palha (120 gramas),2 colheres de sopa de cheiro-verde picado,2 colheres de sopa de azeite",https://www.receiteria.com.br/receita/arroz-biro-biro/,Arroz biro biro , 4 porções ,"
Reúna os ingredientes do arroz biro biro, perfeito para incrementar as refeições do dia a dia, ou até mesmo, servir naquele churrasco em família no domingão; ,
Descasque e pique a cebola e o alho em cubos pequenos. Caso o bacon tenha couro, retire e guarde para colocar no feijão ou em algum outro caldo, e pique em cubos pequenos o que sobrou da peça; ,
Para o arroz, em uma panela, aqueça 1 colher de sopa de azeite e coloque 1 colher de sopa de cebola picada. Refogue a cebola até murchar e começar a dourar. Adicione o arroz e mexa bem até ele ficar levemente transparente; ,
Acrescente a água e tempere com sal. Misture bem e deixe cozinhar até os grãos ficarem macios, cerca de 15 a 20 minutos - você pode deixar a panela semiaberta para que o processo seja um pouco mais rápido; ,
Enquanto isso, em uma frigideira antiaderente, aqueça 1 colher de sopa de azeite e acrescente o bacon. Em fogo baixo, frite o bacon até que fique macio e cozido - se você fizer em fogo alto, o bacon vai ficar mais tostado e com uma textura mais dura. Mexa às vezes para não queimar; ,
Assim que o bacon estiver macio, adicione o alho e frite até começar a dourar, mexendo para não queimar. Quando começar a dourar, acrescente o restante da cebola, misture e deixe dourar, mexendo de vez em quando (cerca de 5 minutos). Reserve em um recipiente; ,
Na mesma panela, deixe um pouco da gordura do bacon e utilize para fritar os ovos. Em um recipiente, quebre os ovos, um por vez, e transfira para a panela - se algum estiver estragado, você não estraga a receita inteira; ,
Tempere com sal e pimenta-do-reino. Com uma colher, comece a mexer os ovos ainda crus na panela, para que as claras e gemas se misturem, cozinhem e você tenha um ovo mexido. Assim que os ovos mexidos estiverem cozidos, desligue o fogo, acrescente o bacon refogado e misture; ,
Verifique se a água do arroz secou e se ele está completamente cozido. Desligue o fogo, coloque o arroz em um refratário e junte a mistura de bacon e ovos pronta. Acrescente o cheiro-verde e misture até incorporar os ingredientes; ,
Na hora de servir, salpique batata palha a vontade por cima. Agora é só aproveitar! ", 25min
"1 inhame grande,
4 laranjas,
1 limão",https://www.receiteria.com.br/receita/suco-de-inhame-com-laranja-e-limao/,Suco de inhame com laranja e limão , 2 porções,, 10min
"300 gramas de massa folhada,
100 ml de molho de tomate,
100 gramas de mussarela,
100 gramas de pepperoni,
1 ovo batido",https://www.receiteria.com.br/receita/salgadinho-de-massa-folhada/,Salgadinho de massa folhada , 6 porções,, 20min
"400 gramas de leite em pó,
800 gramas de açúcar,
200 ml de água",https://www.receiteria.com.br/receita/doce-de-leite-de-3-ingredientes/,Doce de leite de 3 ingredientes , 10 a 15 unidades,, 10min
"2 colheres de sopa de chocolate em pó,
4 colheres de sopa de manteiga,
1 caixa de leite condensado,
1 caixa de creme de leite,
2 pacotes de biscoito de Maizena,
Suco de 3 limões,
Raspas de limão a gosto",https://www.receiteria.com.br/receita/torta-de-limao-com-chocolate/,Torta de limão com chocolate , 5 porções,, 30min
"3 tomates italianos grandes cortados em 4 partes,1 cebola grande cortada em 4 partes,3 dentes de alho cortados grosseiramente,Folhinhas de manjericão fresco,3 filés de frango,3 fatias de queijo mussarela,Farinha de amêndoas para empanar,1 ovo batido,Temperos de sua preferência (sugestão: sal, mix de ervas secas, alho em pó e páprica defumada)",https://www.receiteria.com.br/receita/file-de-frango-a-parmegiana-low-carb/,Filé de frango à parmegiana low carb , 3 porções ,"
Reúna todos os ingredientes; ,
Coloque o tomate, a cebola e o alho em uma travessa; ,
Coloque sal, azeite, salsinha e leve ao forno preaquecido a 180ºC por cerca de 40 minutos; ,
Enquanto isso, tempere os filés de frango com sal, ervas secas, alho, páprica ou outros temperos que preferir; ,
Passe o filé primeiro no ovo, depois na farinha de amêndoas e posicione na forma untada. Repita esse processo com o restante dos filés e leve ao forno preaquecido a 180ºC por cerca de 20 minutinhos; ,
Em um liquidificador, coloque os ingredientes assados do molho e bata até formar um creme; ,
Retire os filés assados do forno; ,
Em seguida, adicione o molho de tomate por cima de cada um; ,
Coloque o queijo mussarela por cima e um salpique de orégano. Leve ao forno até gratinar; ,
Agora é só servir! Bom apetite. ", 60min
"100 gramas de aparas tilápia,100 gramas de salsão,40 gramas de gengibre,1/2 pimenta-dedo-de-moça,150 ml de ,250 ml de suco de limão,Talos do coentro,1 colher de chá de sal (ou a gosto),2 dentes de alho,1/2 cebola - pode ser a branca ou a roxa (70 gramas),Pedras de gelo",https://www.receiteria.com.br/receita/leite-de-tigre/,Leite de tigre , 3 porções,"
Reúna os ingredientes para preparar o leite de tigre perfeito para marinar o seu ceviche. Lembrando que para o leite de tigre você utiliza apenas as aparas do peixe, que são as partes do filé obtidas em decorrência da limpeza (toalete) e padronização dos mesmos; ,
Comece a sua receita cortando a tilápias em pedaços menores, para ajudar na hora de bater no liquidificador. Caso queira, você também pode picar a pimenta-dedo-de-moça e retirar as sementes, mas se preferir um preparo mais apimentado, deixe as sementes; ,
Depois, no liquidificador, coloque as tilápias cortadas, a pimenta, o salsão, o gengibre (pode usar ele com casca), o caldo de peixe, o suco de limão, os talos de coentro, o sal, o alho, a cebola e pedras de gelo. Bata por 2 minutinhos ou até misturar bem; ,
Passe o leite de tigre para uma peneira e coe ele, aos poucos - pode descartar os resíduos da peneira. Ele vai ficar com uma textura mais grossa; ,
Prontinho, agora é só colocar no seu ceviche e saborear. Bom apetite! ", 30min
"1 xícara de chá de fubá,
1 xícara de chá de água,
300 ml de água,
1 dente de alho amassado,
1/2 cebola ralada,
1 colher de sopa de azeite,
1 colher de sopa de manteiga,
100 gramas de queijo mussarela ralado,
Sal a gosto,1 colher de sopa de azeite,
1/2 cebola picada,
1 dente de alho amassado,
250 gramas de carne moída,
1 xícara de chá de molho de tomate,
1/2 xícara de chá de água,
1/4 de xícara de chá de azeitona,
Sal a gosto,
Pimenta-do-reino a gosto,
Cheiro verde a gosto",https://www.receiteria.com.br/receita/polenta-com-carne-moida-no-forno/,Polenta com carne moída no forno , 8 porções ,, 50min
"150 gramas de tomate seco em conserva,
1 pimentão amarelo,
3 potes de cream cheese gelado,
80 gramas de champignon em conserva picado,
2 colheres de sopa de salsinha picada,
1/2 pacote de sopa de cebola,
1 colher de café de pimenta caiena,
100 gramas de azeitonas verdes sem caroço,
100 gramas de azeitonas pretas sem caroço,
Alecrim fresco a gosto,
150 gramas de salame fatiado,
Torradinhas pequenas a gosto",https://www.receiteria.com.br/receita/petisco-de-cream-cheese/,Petisco de cream cheese , 4 porções,, 30min
"1/3 de xícara de chá de queijo parmesão ralado (Quatá),1 ovo,1/3 de xícara de chá de leite,2 colheres de sopa de óleo neutro (soja, girassol ou milho) ,1 xícara de chá de polvilho doce,Sal a gosto",https://www.receiteria.com.br/receita/pao-de-queijo-de-frigideira/,Pão de queijo de frigideira , 4 porções,"
Reúna todos os ingredientes do pão de queijo de frigideira; ,
Em uma vasilha, coloque todos os ingredientes e misture até formar uma massa homogênea; ,
Aqueça uma frigideira antiaderente, despeje parte da massa e frite como se fosse uma panqueca, até que as bordas fiquem douradas ,
Repita o processo até acabar a massa; ,
Agora é só servir. Aproveite esse delicioso pão de queijo seja no café da manhã ou da tarde! ", 20min
"4 ovos,3 xícaras de chá de açúcar,4 xícaras de chá de leite,1 e 1/2 xícara de chá de fubá,50 gramas de queijo ralado,1 colher de sopa de manteiga (ou margarina),3 colheres de sopa de farinha de trigo,1 colher de sopa de fermento",https://www.receiteria.com.br/receita/bolo-de-fuba-cremoso-tradicional/,Bolo de fubá cremoso tradicional , 12 porções,"
Reúna todos os ingredientes; ,
Em um liquidificador, adicione todos os ingredientes e bata até ficar bem homogêneo; ,
Transfira a massa para uma assadeira untada, polvilhada com fubá e leve ao forno preaquecido a 180 ºC por cerca de 1 hora e 30 minutos; ,
Agora é só servir. Bom apetite! ", 105min
"3 ovos,245 gramas de açúcar,1/2 xícara de chá de óleo (110 ml),1 pitada de sal,1 colher de chá de essência de baunilha,180 gramas de farinha de trigo,1 colher de sopa de fermento químico em pó (fermento para bolo),2/3 xícara de chá de leite (140 ml)",https://www.receiteria.com.br/receita/bolo-simples/,Bolo simples , 20 porções ,"
Reúna todos os ingredientes; ,
Em um recipiente, coloque os ovos e bata por um minuto com um fouet; ,
Adicione o açúcar. Bata por mais um minuto; ,
Acrescente o óleo, o sal e a baunilha. Misture por mais um minuto; ,
Junte o leite e bata por 30 segundos; ,
Adicione o fermento e, aos pousos, a farinha e vá misturando até tudo incorporar; ,
Transfira para uma forma untada, enfarinhada e leve ao forno preaquecido a 180ºC por cerca de 40 a 50 minutos; ,
Agora é só servir. Bom apetite! ", 50min
"5 bananas bem maduras (nanica, maçã, prata),4 ovos inteiros,1 xícara de chá de açúcar demerara (opcional),1/2 xícara de chá de óleo,1 colher de sopa de canela em pó,1 colher de sopa de fermento químico em pó (fermento para bolo),200 gramas de aveia em flocos finos sem glúten",https://www.receiteria.com.br/receita/bolo-de-banana-com-aveia-facil/,Bolo de banana com aveia fácil , 10 a 12 porções,"
Reúna todos os ingredientes do seu bolo de banana de aveia fácil; ,
Em um liquidificador, coloque os ovos, o óleo, o açúcar e 4 bananas picadas. Bata até obter uma mistura lisa e homogênea; ,
Coloque essa mistura em uma tigela e acrescente a aveia, a canela, o fermento e a banana restante bem picadinha. Misture delicadamente; ,
Transfira a massa para uma forma untada com manteiga ou óleo e polvilhada com açúcar. Leve para assar em forno preaquecido a 180ºC por cerca de 40 minutos ou até dourar; ,
Espere amornar e desenforme. Agora é só servir o seu delicioso bolo de banana com aveia fácil, bom apetite! ", 60min
"100 gramas de coco ralado úmido,
200 ml de leite de coco,
3 ovos,
395 gramas de leite condensado,
1 colher de chá de fermento químico em pó (para bolo),
Manteiga para untar",https://www.receiteria.com.br/receita/cocada-de-forno-cremosa/,Cocada de forno cremosa , 8 porções,, 40min
"3 ovos inteiros,1 xícara de chá de açúcar (180 gramas),2 xícaras de chá de farinha de trigo sem fermento (270 gramas),1/2 xícara de chá de chocolate em pó 50% cacau (70 gramas),1/2 xícara de chá de óleo (125 ml),1/2 xícara de chá de leite (125 ml),1 colher de sopa de fermento químico em pó (fermento para bolo),1 caixinha de leite condensado (395 gramas),1 colher de sopa de manteiga (ou margarina),3 colheres de sopa de leite em pó (opcional),1/2 caixinha de creme de leite (100 gramas),1 caixinha de morangos (cerca de 250 gramas),1 caixinha de leite condensado (395 gramas),1 colher de sopa de manteiga (ou margarina),2 colheres de sopa de chocolate em pó 50% cacau,1/2 caixinha de creme de leite (100 gramas),1/2 caixinha de morango (cerca de 125 gramas),Granulado a gosto",https://www.receiteria.com.br/receita/bolo-de-aniversario/,Bolo de aniversário , 15 a 20 porções,"
Reúna os ingredientes do bolo de aniversário. Com manteiga e farinha de trigo, unte uma forma redonda (sem furo no meio), com 24 cm de diâmetro. Pré-aqueça o forno a 180ºC por pelo menos 15 minutos; ,
Lave os morangos do recheio e retire as folhas verdes. Com um papel-toalha, seque cada um deles e, em seguida, pique em cubos. Disponha os morangos picados para escorrer em um papel-toalha. Lave e corte ao meio os morangos para a decoração; ,
Para a massa, em um recipiente pequeno, quebre os ovos, um por um, e transfira para a tigela da batedeira - se algum ovo estiver estragado, você não perde toda a receita. Junte o açúcar e bata por 2 minutos para a massa ficar bem fofinha; ,
Peneire a farinha de trigo e o chocolate em pó e acrescente na massa. Adicione o óleo, o leite e bata até obter uma massa lisa e homogênea. Por fim, coloque o fermento e, com uma espátula, mexa delicadamente (com cuidado) apenas para incorporar; ,
Transfira a massa para a forma e leve para assar em forno preaquecido a 180ºC por cerca de 30 a 40 minutos, ou até passar no teste do palito - espete um palito de dente ou garfo na massa e, se sair limpo, está pronto; caso contrário, deixe mais alguns minutos; ,
Enquanto isso, para o recheio, em uma panela, coloque o leite condensado, a manteiga e o leite em pó. Leve ao fogo médio para baixo e cozinhe até a mistura encorpar e começar a desgrudar o fundo da panela, mexendo sempre para não queimar e criar grumos; ,
Desligue o fogo e adicione o creme de leite. Mexa para incorporar e transfira o creme branco para um refratário. Deixe amornar em temperatura ambiente - é importante que não esteja totalmente frio na hora de rechear, para ficar fácil de manusear o creme; ,
Para a cobertura, em outra panela, coloque o leite condensado, a manteiga e o chocolate em pó (peneirado). Leve ao fogo médio e mexa sem parar até começar a desgrudar do fundo da panela. Desligue o fogo e adicione o creme de leite e misture para incorporar. Deixe amornar; ,
Passado o tempo, retire o bolo do forno, deixe amornar e desenforme. Com uma faca de pão ou nivelador de bolo, corte a massa ao meio, na horizontal, para rechear; ,
Disponha a parte debaixo do bolo em um prato ou boleira, com uma colher, espalhe o creme branco por cima e, em seguida, acomode os morangos picados no creme; ,
Cubra com a outra parte da massa. Se vazar um pouco do recheio, passe uma espátula nas laterais para nivelar. Despeje a cobertura por cima, espalhando bem nas laterais e no topo do bolo; ,
Salpique granulado por cima e decore com os morangos. Agora é só servir esse delicioso bolo de aniversário naquela festinha animada com os amigos e familiares. Aproveite! ", 120min
"2 xícaras de chá de arroz arbóreo,
1 xícara de chá de vinho branco,
9 kani,
60 gramas de manteiga,
50 gramas de cheiro-verde,
3 dentes de alho,
1/2 cebola,
100 gramas de queijo parmesão ralado,
1 litro de caldo de peixe ou legumes,
Azeite, sal e chimichurri a gosto",https://www.receiteria.com.br/receita/risoto-de-kani/,Risoto de kani , 6 porções,, 46min
"2 colheres de sopa de azeite,1 cebola picada,2 dentes de alho picados,1/3 de pimentão amarelo picado,1 lata de tomates pelados,Molho de pimenta a gosto,1/3 de xícara de chá de ervilhas frescas,200 g de camarões pré-cozidos e sem casca (pode usar o camarão cru também),2 colheres de chá de sal,1 colher de chá de açafrão-da-terra (cúrcuma),1 colher de chá de páprica picante,1 xícara de chá de arroz agulhinha,2 xícaras de chá de água fervente",https://www.receiteria.com.br/receita/arroz-com-camarao-simples/,Arroz com camarão simples , 3 porções,"
Reúna todos os ingredientes; ,
Leve uma panela ao fogo médio, esquente o azeite, e refogue a cebola; ,
Adicione o alho, o pimentão e refogue-os também; ,
Acrescente os tomates pelados e despedace-os com a ajuda de uma colher; ,
Coloque umas gotinhas de molho de pimenta, as ervilhas, o camarão, misture, tampe a panela, e deixe ferver por 1 minuto; ,
Tempere tudo com sal, açafrão, páprica e misture; ,
Junte o arroz, mexa, e coloque a água fervente; ,
Tampe a panela novamente, diminua o fogo, e espere a água secar; ,
Agora é só servir. Bom apetite! ", 60min
"1 xícara de chá de arroz branco cozido (100 gramas),1 ovo,3 colheres de sopa de farinha de trigo,2 colheres de sopa de queijo parmesão ralado,1 colher de sopa de salsinha picada grosseiramente,1 colher de sopa de azeite (ou a gosto),1/4 de colher de chá de sal (ou a gosto),Uma pitada de pimenta-do-reino (ou a gosto)",https://www.receiteria.com.br/receita/bolinho-de-arroz-simples-na-airfryer/,Bolinho de arroz simples na airfryer , 9 unidades,"
Reúna os ingredientes do bolinho de arroz simples na airfryer e deixe a airfryer pré-aquecer em 190ºC por aproximadamente 20 minutos; ,
Em uma tigela grande, misture o arroz, a farinha de trigo, o queijo parmesão e a salsinha. Enquanto isso, quebre os ovos separadamente (para garantir que todos estejam bons), e adicione na tigela. Tempere com sal e pimenta. Mexa bem até ficar homogêneo; ,
Com duas colheres de tamanhos iguais, retire uma quantidade da massa e passe para a outra modelando a massinha com os dois lados no formato da colher. Continue modelando os bolinhos, e transfira-os para um prato raso; ,
Depois que todos os bolinhos estiverem prontos, disponha-os separadamente no cesto da airfryer; ,
Pincele azeite em cada bolinho de arroz. Feche a airfryer e deixe assar por 10 minutos; ,
Está pronto! Transfira os bolinhos de arroz para uma tigela e sirva com molho de pimenta. Bom apetite! ", 20min
